"Mot","Definition"
"jambon","Viande qui provient du cochon"
"pigeon","Oiseau de la famille des Columbidés, vivant en plaine et dans les villes, et se nourrissant principalement de graines."
"pizza","Plat cuisiné chaud constitué d’une pâte à pain recouverte de sauce tomate cuisinée et garnie de divers ingrédients."
"tabernacien","Relatif à Taverny, commune française située dans le département du Val d’Oise."
"tabes","Variante de tabès."
"tabiser","Rendre une étoffe ondée à la manière du tabis."
"tablature","Système schématisé de notation musicale pour un instrument qui indique les doigtés et le rythme."
"tableautin","Petit tableau."
"tabletier","Celui, celle qui fait et vend des échiquiers, des tables pour jouer aux dames, aux échecs, des billes pour jouer au billard, toutes sortes d’articles d’ivoire, d’ébène, etc."
"tabletterie","Métier et commerce du tabletier."
"tablo�de","Journal dont la taille est au demi-format des journaux habituels."
